"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)"
="3207","耀勝","24.55","-3.73","15.05","11.25","9.54","9","+5.36","+60.5","+122","+104","+141","-739","-2.58"
="3231","緯創","28.45","-3.72","27.9","26.55","26.55","26.55","-2.23","+0.18","+4.21","-8.81","-2.4","+6,268","+12.3"
="3260","威剛","85.2","+1.67","74.5","72.6","72.6","57.3","+1.67","+7.58","-22.9","-20","+46.9","-350","-1.14"
="3264","欣銓","58.9","-3.92","51.9","51.9","35.05","34.3","-4.23","+5.37","-2.48","+37","+73.5","+2,504","+4.86"
="3294","英濟","23.25","+5.2","18.45","16.2","16.2","16.2","+2.88","+9.93","+22","+0.43","+38.4","-434","-2.23"
="3305","昇貿","76","-2.56","52.6","43.1","34.1","23.95","+1.33","+36.9","+45","+62.6","+218","+504","+0.42"
="3317","尼克森","75","-1.83","59.5","59.5","47.1","38.1","-3.6","+15.9","-4.58","+20.8","+96.3","-1,479","-5.58"
="3363","上詮","34.25","-2.84","26.75","24.35","22.05","22.05","+0.29","+23.2","+30","+26.6","+35.6","-196","-0.5"
="3374","精材","138","-0.36","117.5","116","116","116","-0.72","+10.4","-14.8","-6.12","-3.16","-1,520","-8.43"
="3380","明泰","28.1","-0.35","24.6","24","23.65","23.65","+3.12","+9.34","+5.24","-6.18","+7.87","-291","-1.12"
="3406","玉晶光","419","-0.59","370","370","369","369","-5.74","+8.55","-19.9","-12.7","-26.4","-272","-1.8"
="3481","群創","18.45","+1.1","14.85","14.85","14.85","9","+11.5","+12.8","-8.21","-27.5","+86.2","+156,069","+16.2"
="3491","昇達科","150","+3.81","77.2","66.4","58.6","58.6","+9.89","+93.5","+109","+117","+115","+1,238","+2.5"
="3504","揚明光","133","+0.76","106.5","84.2","61.6","53","-7.64","+22","+42.6","+69.4","+150","-709","-0.94"
="3508","位速","36.85","+10","19.5","18.5","18","16.9","+7.75","+85.6","+74.6","+44.2","+114","-254","-0.16"
="3515","華擎","195","+5.69","154","125","125","125","+8.33","+20.4","+21.9","+9.24","+13","+780","+4.18"
="3527","聚積","187.5","-2.34","172.5","160.5","80.3","80.3","-16.7","+3.59","+16.8","+82","+113","+441","+2.33"
="3530","晶相光","135","0","124","122","85.8","85.8","-5.59","-1.1","-27.8","+23.3","+53.4","+319","+1.64"
="3545","敦泰","152","+2.36","133","133","133","50.4","+1.33","+4.83","-39.7","-15.8","+205","-5,203","-9.04"
="3552","同致","199","-3.4","158","151.5","150.5","136","-4.33","+19.2","-4.78","+7.57","+34.9","+106","+0.64"
="3576","聯合再生","23.65","0","20.95","18.6","11.5","11.2","-9.9","+14.5","+14.5","+64.2","+54.6","+1,456","+0.71"
="3583","辛耘","74.2","-3.39","62.2","58.9","51.8","51.8","+2.34","+10.1","+23.9","+14","+29.7","+2,327","+9.23"
="3588","通嘉","130.5","-2.61","110","106","55","38.6","-8.1","+8.3","+16","+81","+241","+650","+1.82"
="3596","智易","115.5","+1.76","90","87.2","83.6","83.6","+6.45","+20.8","+25.4","+17.9","+14.9","-655","-0.79"
="3653","健策","379.5","-5.71","324.5","276.5","202","202","-2.19","+6.6","+24.2","+58.8","+36.8","+103","+0.47"
="3673","TPK-KY","40.75","+0.87","36.9","36.7","36.7","36.7","-5.67","+6.4","-3.78","-21.8","-15.5","-2,721","-10.3"
="3689","湧德","44.9","-3.96","39.9","31.6","24.6","24.6","-8.09","+6.9","+34","+39","+58.9","+973","+2.31"
="3701","大眾控","57.5","-2.87","37.7","16.35","13.2","12.75","+12.7","+46.1","+160","+286","+341","+208","+0.28"
="3704","合勤控","31.85","+0.47","23.9","21.75","21.75","21.75","+0.16","+30","+22","-5.21","+37.3","-5,103","-3.3"
="3706","神達","28.9","0","27.85","26.85","25.3","25.3","+0.35","+2.85","+1.4","-0.34","+0.17","+4,021","+20.3"
="3707","漢磊","146.5","-0.68","113","81.3","46.75","27.4","-11.5","+18.1","+53.6","+149","+435","-854","-0.26"
="3711","日月光投控","105.5","+5.82","92.2","92.2","92.2","68.9","+7.43","+9.67","-17.6","-4.09","+53.6","-1,651","-3.35"
="3714","富采","76.6","-0.39","66.4","65.5","57.4","","-0.26","+10.4","-1.03","+0.39","","+3,046","+8.48"
="4123","晟德","65.2","-0.31","55.5","55.5","55.5","55.5","-0.15","+14.4","-7.65","+0.46","-2.4","-101","-0.65"
="4128","中天","58.1","+0.87","51.5","50.2","50.2","50.2","-5.53","+12.6","+3.2","-8.93","-20.4","-1,395","-4.39"
="4141","龍燈-KY","24.4","+6.09","20.6","11.7","11.15","11","+6.55","-12.2","+89.9","+67.7","+117","-893","-2.9"
="4714","永捷","14.45","-1.03","13.4","11.75","11.15","11.15","+3.58","+3.21","+8.65","+9.47","+16.1","+773","+3.14"
="4721","美琪瑪","158","-4.82","114","86.4","50","50","-11","+33.3","+81.2","+145","+177","-529","-0.3"
="4739","康普","149.5","-1.32","114.5","97.5","57.7","53.7","-12.6","+24.6","+27.2","+94.7","+179","+97","+0.08"
="4743","合一","244.5","+1.45","171.5","165","165","165","-6.68","+45.1","+28","+6.54","-17.4","-380","-1.92"
="4906","正文","27.8","-0.36","25.2","24.25","24.25","24.25","-0.36","+5.9","-2.11","-13.7","-4.14","-1,788","-9.04"
="4915","致伸","50","0","49.8","47.8","47.4","46","-3.66","-1.57","-6.37","-11.2","+6.04","-9,236","-50.7"
="4916","事欣科","34.85","+1.9","22.55","22.55","20","20","+21.6","+45.8","+37.2","+48.3","+65.2","-160","-0.22"
="4919","新唐","122","-1.61","116","115","57.2","41.25","-6.87","-6.87","-11.9","+64.9","+191","-777","-1.3"
="4927","泰鼎-KY","85.1","+0.12","70.4","53.6","44.55","44.55","+6.38","+20.2","+42.3","+25","+8.41","+4,627","+9.2"
="4934","太極","35.65","-1.38","32.3","26.4","20.7","20.7","-10.7","+2.3","+3.33","+28.2","+25.1","-602","-1.16"
